ID,TOWN-CODE,Turnover_Ingresos_2012,Turnover_Ingresos_2011,WorkingCapital_FondoManiobra_2012,WorkingCapital_FondoManiobra_2011,CurrentAssets_ActivoCirculante_2012,CurrentAssets_ActivoCirculante_2011,CurrentLiability_PasivoLiquido_2012,CurrentLiability_PasivoLiquido_2011,Amortization_Amortizacion_2012,Amortization_Amortizacion_2011,IntangibleAssets_InmovilizadoInmaterial_2012,IntangibleAssets_InmovilizadoInmaterial_2011,TangibleAssets_InmovilizadoMaterial_2012,TangibleAssets_InmovilizadoMaterial_2011,AverageCollectionPeriod_PeriodoMedioDeCobro_2012,AverageCollectionPeriod_PeriodoMedioDeCobro_2011,AveragePaymentPeriod_PeriodoMedioDePago_2012,AveragePaymentPeriod_PeriodoMedioDePago_2011,InventoryTurnOver_RotacionDeInventario_2012,InventoryTurnOver_RotacionDeInventario_2011,Dividends_Dividendo_2011,Dividends_Dividendo_2012,LeveragePerc_ApalancamientoPerc_2012,LeveragePerc_ApalancamientoPerc_2011,Procurements_Aprovisionamientos_2011,Procurements_Aprovisionamientos_2012,Equity_Capital_2012,Equity_Capital_2011,Cash_Tesoreria_2012,Cash_Tesoreria_2011,ShortTermFinancialInvestments_InversionesFinancierasCortoPlazo_2011,ShortTermFinancialInvestments_InversionesFinancierasCortoPlazo_2012,LongTermFinancialInvestments_InversionesFinancierasLargoPlazo_2012,LongTermFinancialInvestments_InversionesFinancierasLargoPlazo_2011,Stock_Existencias_2012,Stock_Existencias_2011,FinancialExpenditures_2012,FinancialExpenditures_2011,FinancialDebt_DeudasFinancieras_2012,FinancialDebt_DeudasFinancieras_2011,LongTermDebt_DeudasLargoPlazo_2012,LongTermDebt_DeudasLargoPlazo_2011,ShortTermDebt_DeudasCortoPlazo_2012,ShortTermDebt_DeudasCortoPlazo_2011,TARGET
758,183,206.98426,298.59669,85.45086,88.267239,94.52999,113.59716,128.18491,107.31841,2.7409,5.16238,0,0,5.29237,8.03327,2.93,18.084,148.769,69.058,636.764,310.483,0,0,-65.112,168.4,-99.41136,-48.53602,9.01518,9.01518,6.99533,12.85912,0,0,0,0,85.85,85.73776,2.42346,1.9314,18.46746,24.10145,0,0,84.96746,74.10145,0
759,1182,805.78932,731.13203,255.73383,217.29914,641.62403,652.41903,98.79277,171.71883,3.05097,2.28822,0,0,20.08553,23.1365,105.548,119.509,54.194,103.046,32.118,65.637,0,0,3.659,5.157,-529.739209,-584.1505,3.06,3.06,353.25616,313.11945,0,0,3.46601,5.91863,52.11753,96.58595,1.82049,2.207069,4.45931,4.29333,10.67425,15.13356,4.45931,4.29333,0
760,805,675.45942,0,456.153459,0,508.95184,0,517.27978,0,1.15397,0,0,0,18.6774,0,177.655,0,170.199,0,187.043,0,0,0,0,0,0,-288.74058,3,0,25.60055,0,0,0,4,0,150.01963,0,36.34928,0,283.75164,0,0,0,284.49083,0,1
761,197,563.05969,722.64851,388.89618,308.81359,533.08377,550.92357,135.44273,85.25419,27.98985,20.65091,0,0,889.82326,884.96186,133.76,81.919,89.966,34.619,273.864,156.658,0,0,50.648,48.867,-353.70302,-269.45037,6.01012,6.01012,61.30517,190.57683,41.98686,57.58989,9.15244,9.8151,204.98014,153.91801,17.9643,1.4918,39.90879,37.75912,413.14371,421.21568,39.90879,37.75912,1
762,718,1488261,1343277,376776,378496,856504,804556,425880,454278,25960,27313,136367,138143,114045,109707,71.635,78.698,281.619,291.558,146.727,157.367,0,0,15.933,14.71,-430473,-450747,56065,56020,83834,180018,142717,292812,64288,8084,183714,188173,8866,6489,19043,9487,7469,8259,19043,9487,0
763,1110,524.545,491.64176,68.96801,87.49613,109.9272,137.50925,82.18406,88.00247,8.5306,7.74829,0,0,116.5456,112.92951,47.333,64.068,144.166,157.505,0,0,0,0,19.87,30.966,-34.18891,0,12.02024,12.02024,40.95919,47.89126,2.12186,0,103.4602,103.49361,0,0,2.077989,2.64376,24.26114,23.44246,20.82817,45.13322,24.41636,23.59768,1
764,1212,582,1.27716,50.96124,1164.80821,53.82399,1224.51597,459.00457,349.31544,10.71135,10.71135,0,0,271.42689,282.13824,31.522,14331.8,35.049,919.337,0,0,0,0,-579.337,-832.526,0,-1113.96376,6.01,6.01,1.22666,2.2849,57.42286,1.63609,5.4,5.4,0,1113.96376,18.59229,184.946099,158.12436,179.28651,1540.79895,2909.67318,350.00457,269.16672,0
765,1266,102.83014,141.95499,3.52006,5.97564,67.7308,62.9641,9.94689,11.75496,2.04465,2.84619,0,0,9.17708,11.22173,12.993,15.642,28.144,33.662,0,0,0,0,9.322,21.244,-5.24278,-9.88079,3.01,3.01,0.96243,4.147939,52.64783,63.05699,0,0,0,0,0.45072,0.9163,3.90863,1.98836,0,7.36748,4.79363,3.04537,0
766,1295,122.7434,88.69007,-17.37693,-15.976629,22.25609,22.32155,135.6782,149.17414,0,7.56039,0,0,127.34983,142.68464,24.69,58.496,343.237,157.897,66.105,0,0,0,-128.163,-130.497,-56.41626,-65.34979,3.00506,3.00506,1.19263,7.26528,0.64498,0.64498,0.36662,0.36662,12,0,3.34455,5.07198,0.84405,1.64985,114.16399,118.02127,61.91289,1.64985,0
767,980,529.58541,718.34245,123.48288,99.447099,528.51111,845.80762,428.21771,817.4685,3.11596,7.28904,12.64135,12.64135,62.73618,65.85214,271.698,204.609,474.815,775.117,0,0,0,0,179.969,149.315,0,0,60.10121,60.10121,121.32328,122.78521,8.14913,7.50004,144.73397,142.83397,0,306.59694,3.46943,3.64666,61.3719,75.307,261.3094,191.3094,99.82456,133.59787,1
